past_profitability_21d,past_profitability_63d,past_profitability_126d,volatility_21d,volatility_63d,volatility_126d,avg_price_21d,avg_price_63d,avg_price_126d,sharpe_21d,sharpe_63d,sharpe_126d,m_21d,m_63d,m_126d,roc_21d,roc_63d,roc_126d,MACD,rsi_14,dco_22,min_21d,min_63d,min_126d,max_21d,max_63d,max_126d,exp_mean_21d,exp_mean_63d,exp_mean_126d,target,factual_id
0.0,0.1,0.3,0.3,0.3,0.4,38.259,35.76,33.37,0.1,0.3,0.9,1.0,3.5,9.2,0.0,0.1,0.3,0.6,49.2,-0.0698187798,37.073,32.21,26.416,39.685,39.685,39.68,37.99,36.15,34.62,0.01760510265873546,49731
0.0,0.1,0.3,0.3,0.3,0.4,38.135,35.592,33.17,0.1,0.3,0.8,1.3,3.6,8.4,0.0,0.1,0.3,0.8,47.5,-0.2434405535,36.959,32.21,26.416,39.685,39.685,39.68,37.94,35.96,34.44,0.020760942293337033,49731
0.0,-0.0,-0.0,0.1,0.1,0.1,7.967,7.943,8.02,0.5,-0.1,-0.3,0.3,-0.0,-0.2,0.0,-0.0,-0.0,0.0,70.4,0.0356618986,7.808,7.69,7.692,8.075,8.177,8.32,7.97,7.96,7.99,0.04586604911195724,54040
0.0,0.0,0.0,0.1,0.1,0.1,8.072,7.956,8.02,0.3,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,70.0,-0.0413830541,7.948,7.69,7.692,8.179,8.179,8.19,8.08,8.01,8.01,0.029738950005918217,54040
0.0,0.0,-0.0,0.0,0.0,0.0,16.225,16.069,16.18,0.5,0.3,-0.2,0.1,0.2,-0.1,0.0,0.0,-0.0,0.1,81.2,-0.0093172723,16.162,15.81,15.814,16.289,16.289,16.41,16.22,16.15,16.2,0.048513443842515255,36856
0.0,0.0,-0.0,0.0,0.0,0.0,16.231,16.073,16.18,0.5,0.3,-0.1,0.1,0.2,-0.1,0.0,0.0,-0.0,0.1,83.3,-0.0085309092,16.167,15.81,15.814,16.301,16.301,16.41,16.22,16.15,16.2,0.04656285550829417,36856
0.0,0.0,-0.5,0.0,0.0,0.5,0.034,0.034,0.04,0.0,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,-0.5,-0.0,0.0,0.0,0.034,0.03,0.034,0.034,0.034,0.06,0.03,0.04,0.05,1.2986601198467405e-17,13701
0.0,0.0,-0.5,0.0,0.0,0.5,0.034,0.034,0.04,0.0,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,-0.5,-0.0,0.0,0.0,0.034,0.03,0.034,0.034,0.034,0.06,0.03,0.04,0.05,1.2986601198467405e-17,13701
0.0,-0.0,-0.1,0.2,0.3,0.3,5.966,6.266,6.24,0.1,-0.1,-0.2,0.1,-0.1,-0.4,0.0,-0.0,-0.1,-0.1,61.1,0.007818182,5.82,5.82,5.82,6.198,6.84,6.84,6.06,6.2,6.27,0.10982632563492992,14165
0.0,-0.0,-0.1,0.2,0.3,0.3,5.974,6.264,6.24,0.1,-0.1,-0.2,0.2,-0.1,-0.4,0.0,-0.0,-0.1,-0.0,60.8,0.0337272733,5.82,5.82,5.82,6.21,6.84,6.84,6.07,6.19,6.27,0.1020172035532257,14165
0.0,0.0,0.1,0.1,0.1,0.1,144.264,144.02,142.53,0.2,0.3,0.9,2.4,3.0,9.1,0.0,0.0,0.1,0.4,55.9,0.7560873628,142.157,141.82,136.418,145.848,147.009,147.01,144.49,143.69,142.39,0.038380252924245524,46140
0.0,0.0,0.1,0.1,0.1,0.1,144.396,144.072,142.6,0.3,0.3,0.9,2.8,3.3,8.9,0.0,0.0,0.1,0.4,57.5,0.8521997333,142.17,141.92,136.931,145.848,147.009,147.01,144.57,143.75,142.44,0.03858813686745367,46140
0.0,-0.0,0.1,0.0,0.1,0.3,0.9,0.902,0.89,0.0,-0.5,0.2,0.0,-0.0,0.1,0.0,-0.0,0.1,-0.0,4.7,0.0,0.9,0.9,0.72,0.9,0.94,0.94,0.9,0.9,0.9,0.017212966873739067,18086
0.0,-0.0,0.1,0.0,0.1,0.3,0.9,0.903,0.89,0.0,-0.5,0.2,0.0,-0.0,0.0,0.0,-0.0,0.1,-0.0,4.7,0.0,0.9,0.9,0.72,0.9,0.94,0.94,0.9,0.9,0.9,0.017767389950662106,18086
-0.0,0.0,-0.2,0.3,0.4,0.5,71.778,70.73,74.35,-0.0,0.0,-0.3,-0.2,1.2,-13.3,-0.0,0.0,-0.2,0.1,51.9,-0.6483252645,69.786,59.09,59.087,74.808,78.131,87.79,71.66,71.68,72.47,0.1296496433675622,47660
-0.0,0.0,-0.2,0.3,0.5,0.5,71.786,70.711,74.45,-0.0,0.1,-0.3,-0.7,2.2,-12.8,-0.0,0.0,-0.2,0.1,50.8,-0.4661685228,69.723,59.09,59.087,74.808,78.131,87.79,71.64,71.67,72.48,0.12775495935176204,47660
0.0,-0.0,-0.1,0.1,0.2,0.1,10.555,10.893,11.24,0.2,-0.2,-0.7,0.3,-0.3,-1.1,0.0,-0.0,-0.1,-0.0,57.0,-0.0322909094,10.266,10.21,10.21,10.79,11.42,11.89,10.65,10.85,11.1,0.08821598634260033,29302
0.0,-0.0,-0.1,0.1,0.2,0.1,10.567,10.888,11.23,0.2,-0.2,-0.7,0.3,-0.3,-1.1,0.0,-0.0,-0.1,-0.0,56.6,-0.0042545456,10.294,10.21,10.21,10.79,11.42,11.89,10.66,10.85,11.09,0.0861337026216852,29302
0.0,0.0,-0.1,0.2,0.3,0.3,57.622,54.924,58.13,0.1,0.1,-0.3,1.5,1.3,-5.5,0.0,0.0,-0.1,0.6,49.8,0.6179307699,55.576,47.34,47.341,58.715,58.715,67.68,57.48,56.7,57.7,-0.11113992311529508,51958
0.0,0.0,-0.1,0.2,0.3,0.3,57.776,54.982,58.03,0.2,0.1,-0.4,1.7,2.0,-5.8,0.0,0.0,-0.1,0.5,50.0,0.536768198,56.14,47.34,47.341,58.715,58.715,67.68,57.52,56.76,57.7,-0.10586364778753385,51958
0.0,0.0,0.0,0.1,0.1,0.1,4.417,4.425,4.41,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,52.4,-0.0134939803,4.374,4.36,4.302,4.479,4.534,4.53,4.41,4.41,4.39,0.024720616709802332,53770
0.0,0.0,0.0,0.1,0.1,0.1,4.416,4.424,4.41,0.1,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,52.5,-0.0063493145,4.373,4.36,4.296,4.479,4.534,4.53,4.41,4.41,4.39,0.023667701734051742,53770
-0.0,-0.1,-0.1,0.2,0.2,0.1,34.789,35.755,36.89,-0.2,-0.6,-0.8,-1.4,-3.6,-3.9,-0.0,-0.1,-0.1,-0.4,33.1,0.7211363912,33.602,33.6,33.602,35.77,38.035,38.76,34.7,35.63,36.39,0.12542739975117007,708
-0.0,-0.1,-0.1,0.2,0.2,0.1,35.073,35.97,37.01,-0.3,-0.6,-0.8,-1.7,-3.2,-4.2,-0.0,-0.1,-0.1,-0.4,33.7,0.0178181827,33.876,33.88,33.876,35.864,38.035,38.76,35.0,35.84,36.54,0.10512387365673641,708
-0.1,-0.1,-0.1,0.3,0.2,0.1,0.075,0.076,0.08,-0.3,-0.5,-0.7,-0.0,-0.0,-0.0,-0.1,-0.1,-0.1,-0.0,0.0,0.0022272728,0.07,0.07,0.07,0.077,0.077,0.08,0.07,0.08,0.08,0.4285714285714297,11281
-0.1,-0.1,-0.1,0.3,0.2,0.1,0.074,0.076,0.08,-0.3,-0.5,-0.7,-0.0,-0.0,-0.0,-0.1,-0.1,-0.1,-0.0,0.0,0.0025454545,0.07,0.07,0.07,0.077,0.077,0.08,0.07,0.08,0.08,0.4285714285714297,11281
0.0,-0.0,-0.0,0.0,0.0,0.0,16.088,16.043,16.2,0.9,-0.0,-0.5,0.3,-0.0,-0.3,0.0,-0.0,-0.0,0.1,77.7,-0.023767272,15.95,15.81,15.814,16.202,16.223,16.46,16.1,16.09,16.18,0.0497084888236416,32823
0.0,-0.0,-0.0,0.0,0.0,0.0,16.075,16.044,16.2,0.9,-0.1,-0.5,0.3,-0.1,-0.3,0.0,-0.0,-0.0,0.1,77.7,-0.0301745459,15.933,15.81,15.814,16.198,16.236,16.47,16.09,16.09,16.18,0.0498008934311602,32823
0.0,0.0,0.0,0.1,0.1,0.1,96.252,96.029,95.89,0.1,0.1,0.1,0.8,0.7,0.6,0.0,0.0,0.0,0.1,52.9,-0.4039774239,95.156,94.78,93.937,97.472,97.472,98.66,96.28,96.04,95.77,0.0658217811144637,49789
0.0,0.0,0.0,0.1,0.1,0.1,96.18,96.011,95.88,0.1,0.1,0.1,0.5,0.5,0.8,0.0,0.0,0.0,0.1,52.6,-0.2563295066,95.14,94.78,93.937,97.472,97.472,98.66,96.25,96.02,95.75,0.06643883906643334,49789
-0.1,-0.2,-0.1,0.3,0.3,0.4,18.637,20.262,21.69,-0.2,-0.7,-0.2,-1.1,-5.8,-1.5,-0.1,-0.2,-0.1,-0.5,48.7,0.2716818154,17.2,17.2,17.2,19.486,23.985,25.23,18.69,20.01,20.71,0.15177383635515482,4092
-0.0,-0.2,-0.1,0.3,0.3,0.4,18.591,20.175,21.67,-0.2,-0.7,-0.2,-1.0,-5.5,-1.4,-0.0,-0.2,-0.1,-0.5,49.0,0.0229000002,17.2,17.2,17.2,19.478,23.754,25.23,18.66,19.96,20.68,0.15669022341895517,4092
0.0,0.0,0.0,0.1,0.1,0.1,85.311,84.964,85.09,0.1,0.2,0.1,0.7,1.1,0.7,0.0,0.0,0.0,0.2,64.4,-0.1577912271,84.483,83.2,83.204,86.164,86.877,86.88,85.17,84.96,84.89,0.025448562170620147,53039
0.0,0.0,0.0,0.1,0.1,0.1,85.335,84.988,85.1,0.0,0.1,0.1,0.2,0.7,0.5,0.0,0.0,0.0,0.2,60.7,-0.5686466098,84.483,83.2,83.204,86.172,86.877,86.88,85.27,85.01,84.92,0.02996263674636813,53039
0.0,0.1,0.1,0.5,0.4,0.4,0.686,0.655,0.66,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.0,49.4,0.0167272724,0.644,0.62,0.615,0.72,0.72,0.73,0.68,0.67,0.65,0.22228144622242269,11789
0.0,0.0,0.1,0.5,0.4,0.4,0.683,0.654,0.66,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,49.4,0.0022727272,0.64,0.62,0.613,0.72,0.72,0.73,0.68,0.66,0.65,0.21970974760221612,11789
0.0,0.1,0.2,0.1,0.1,0.1,5.118,4.922,4.77,0.3,0.7,1.1,0.2,0.4,0.8,0.0,0.1,0.2,0.1,66.6,-0.0319090895,4.978,4.68,4.374,5.224,5.224,5.22,5.12,4.96,4.81,-0.09364243017368583,22938
0.0,0.0,0.1,0.1,0.1,0.2,4.781,4.741,4.57,0.3,0.4,0.8,0.2,0.2,0.6,0.0,0.0,0.1,0.0,67.2,-0.0572727285,4.68,4.57,4.1,4.88,4.88,4.88,4.8,4.72,4.62,-0.012246255724781276,22938
-0.0,-0.1,-0.2,0.2,0.3,0.3,1.292,1.347,1.42,-0.1,-0.4,-0.7,-0.0,-0.2,-0.3,-0.0,-0.1,-0.2,-0.0,52.9,0.0003636364,1.23,1.23,1.23,1.334,1.49,1.66,1.29,1.34,1.4,0.32714660376071086,25495
-0.0,-0.1,-0.2,0.3,0.3,0.3,1.29,1.344,1.41,-0.1,-0.4,-0.7,-0.0,-0.2,-0.4,-0.0,-0.1,-0.2,-0.0,52.7,-0.0015454545,1.23,1.23,1.23,1.33,1.49,1.66,1.29,1.34,1.4,0.3267552265295493,25495
0.0,0.0,0.0,0.1,0.1,0.1,106.479,104.868,104.14,0.1,0.3,0.5,1.0,2.2,3.5,0.0,0.0,0.0,0.4,48.0,0.0646055341,105.452,102.58,101.734,107.909,107.909,107.91,106.35,105.23,104.08,0.03165989533385229,44992
0.0,0.0,0.0,0.1,0.1,0.1,106.545,104.95,104.2,0.1,0.4,0.5,0.7,2.7,3.4,0.0,0.0,0.0,0.3,48.8,-0.3883042932,105.73,102.58,101.734,107.909,107.909,107.91,106.36,105.3,104.16,0.030868500740798034,44992
-0.0,-0.0,-0.0,0.0,0.0,0.0,9.682,9.735,9.79,-0.5,-1.2,-1.8,-0.0,-0.1,-0.2,-0.0,-0.0,-0.0,-0.0,19.7,0.0007272727,9.662,9.66,9.662,9.706,9.81,9.86,9.68,9.73,9.78,0.022035301748872957,35630
-0.0,-0.0,-0.0,0.0,0.0,0.0,9.687,9.739,9.79,-0.5,-1.1,-1.8,-0.1,-0.1,-0.2,-0.0,-0.0,-0.0,-0.0,19.7,-0.0020909091,9.67,9.67,9.67,9.716,9.81,9.86,9.69,9.73,9.78,0.01999596146649683,35630
0.2,0.2,0.3,0.4,0.5,0.5,3.686,3.391,3.37,0.4,0.4,0.7,0.6,0.7,1.0,0.2,0.2,0.3,0.2,75.3,-0.1367272735,3.36,3.02,3.013,4.04,4.04,4.04,3.75,3.49,3.35,0.025771384960584627,14103
0.1,0.2,0.3,0.5,0.5,0.5,3.582,3.35,3.34,0.3,0.4,0.7,0.5,0.6,1.0,0.1,0.2,0.3,0.2,75.0,-0.1920606047,3.36,3.02,2.943,4.0,4.0,4.0,3.64,3.43,3.31,0.05021937225349088,14103
-0.0,-0.1,-0.0,0.2,0.2,0.2,37.388,37.196,37.78,-0.0,-0.2,-0.0,-0.1,-2.1,-0.1,-0.0,-0.1,-0.0,-0.0,40.2,0.2418421805,36.482,34.64,34.636,38.124,38.853,40.58,37.26,37.32,36.97,-0.10476157847731249,51312
-0.0,-0.1,0.0,0.2,0.2,0.2,37.393,37.229,37.78,-0.0,-0.2,0.0,-0.1,-2.0,0.1,-0.0,-0.1,0.0,-0.0,39.7,0.1968818307,36.528,34.64,34.636,38.124,39.059,40.58,37.3,37.34,36.97,-0.10935077372132854,51312
-0.1,-0.1,-0.1,0.4,0.3,0.3,56.055,58.841,59.39,-0.2,-0.4,-0.3,-6.2,-8.1,-5.0,-0.1,-0.1,-0.1,-1.1,34.4,-0.8091849685,51.586,51.59,51.586,58.616,64.062,64.06,55.93,57.89,58.74,0.12219135036865532,48645
-0.1,-0.1,-0.1,0.4,0.3,0.3,56.353,58.969,59.43,-0.2,-0.3,-0.3,-5.7,-7.0,-4.0,-0.1,-0.1,-0.1,-0.9,37.0,-0.4746195674,52.516,52.52,52.516,58.943,64.062,64.06,56.31,58.08,58.85,0.1235164497186875,48645
0.0,0.1,0.2,0.2,0.2,0.2,95.416,95.613,90.84,0.1,0.6,1.2,2.7,8.7,17.6,0.0,0.1,0.2,0.2,69.5,-0.3861241043,93.336,89.45,81.083,98.876,100.848,100.85,95.91,94.79,92.68,-0.02690269875784295,48724
0.0,0.1,0.2,0.2,0.2,0.2,95.288,95.475,90.7,0.1,0.5,1.1,1.7,8.0,16.9,0.0,0.1,0.2,-0.0,66.3,-0.3524599373,93.336,89.41,80.878,98.118,100.848,100.85,95.62,94.66,92.57,-0.010366145641831189,48724
-0.0,0.0,0.0,0.0,0.0,0.1,143.856,143.774,143.51,-0.0,0.0,0.1,-0.0,0.2,0.9,-0.0,0.0,0.0,0.0,52.9,-0.0913181826,143.68,143.0,141.982,143.966,144.186,145.71,143.85,143.75,143.67,0.005212946218201768,28367
-0.0,0.0,0.0,0.0,0.0,0.1,143.855,143.779,143.52,-0.0,0.1,0.1,-0.0,0.3,1.1,-0.0,0.0,0.0,0.0,53.1,-0.1032727286,143.68,143.09,142.035,143.974,144.137,145.71,143.86,143.75,143.68,0.0052348288307805056,28367
0.0,-0.1,-0.5,0.5,0.5,0.5,6.532,6.938,8.29,0.1,-0.2,-0.9,0.3,-0.7,-6.0,0.0,-0.1,-0.5,-0.0,62.2,-0.1438909024,6.144,6.14,6.144,6.938,7.67,13.06,6.62,7.16,8.75,2.466072080091904,8648
0.1,-0.0,-0.5,0.5,0.5,0.5,6.57,6.925,8.2,0.1,-0.1,-0.9,0.4,-0.4,-6.0,0.1,-0.0,-0.5,0.0,61.5,-0.2462181747,6.144,6.14,6.144,7.078,7.596,13.0,6.68,7.15,8.69,2.3210274919821567,8648
0.1,0.3,0.5,0.5,0.6,0.5,0.865,0.793,0.76,0.3,0.5,1.0,0.1,0.2,0.3,0.1,0.3,0.5,0.0,70.4,-0.0196818188,0.792,0.68,0.62,0.92,0.92,0.92,0.87,0.81,0.77,0.6793161377537607,19176
0.1,0.2,0.2,0.6,0.5,0.5,0.802,0.762,0.73,0.2,0.4,0.5,0.1,0.2,0.2,0.1,0.2,0.2,0.0,71.9,-0.0066969697,0.75,0.68,0.62,0.87,0.87,0.87,0.81,0.78,0.74,0.8546474868317867,19176
0.2,0.3,0.0,0.4,0.4,0.3,0.671,0.591,0.59,0.5,0.8,0.0,0.1,0.2,0.0,0.2,0.3,0.0,0.0,62.0,0.0217818189,0.588,0.52,0.522,0.706,0.706,0.71,0.66,0.62,0.61,0.39186095395077575,25283
0.2,0.3,0.0,0.5,0.5,0.7,0.624,0.556,0.55,0.4,0.7,0.0,0.1,0.2,0.0,0.2,0.3,0.0,0.0,62.2,0.0242636371,0.55,0.47,0.444,0.669,0.669,0.67,0.62,0.58,0.59,0.23891527496504938,25283
-0.1,-0.0,0.1,0.2,0.2,0.3,1.503,1.545,1.49,-0.3,-0.2,0.4,-0.1,-0.1,0.1,-0.1,-0.0,0.1,-0.0,39.3,0.00693468,1.442,1.44,1.278,1.586,1.639,1.64,1.49,1.51,1.49,0.4776774923237652,16295
-0.1,-0.1,0.1,0.4,0.5,0.5,1.329,1.425,1.35,-0.2,-0.2,0.1,-0.2,-0.1,0.1,-0.1,-0.1,0.1,-0.0,39.3,-0.0706969723,1.25,1.25,1.11,1.438,1.59,1.59,1.34,1.38,1.37,1.4512354391138853,16295
-0.0,0.0,-0.1,0.3,0.5,0.3,19.287,19.042,20.19,-0.0,0.0,-0.3,-0.0,0.1,-2.4,-0.0,0.0,-0.1,0.0,61.1,0.2402941585,18.668,16.28,16.283,19.769,20.628,22.2,19.24,19.39,19.83,0.1177339692340155,47003
-0.0,0.0,-0.1,0.2,0.4,0.3,19.487,19.285,20.49,-0.1,0.0,-0.4,-0.3,0.0,-3.1,-0.0,0.0,-0.1,-0.0,60.3,0.2997519076,18.756,16.39,16.39,20.057,20.744,22.88,19.38,19.6,20.13,0.13499506809410092,47003
0.0,0.0,0.0,0.0,0.0,0.0,103.9,102.745,101.49,0.4,0.9,1.2,1.5,2.9,4.1,0.0,0.0,0.0,0.4,71.1,-0.3368400037,103.152,100.7,98.666,104.7,104.7,104.7,103.93,102.93,102.19,0.0630589555807404,2726
0.0,0.0,0.0,0.0,0.0,0.0,104.045,102.843,101.55,0.4,1.0,1.3,1.5,3.1,4.3,0.0,0.0,0.0,0.4,71.1,-0.0251136366,103.197,100.7,98.666,104.962,104.962,104.96,104.08,103.05,102.27,0.05901926980696328,2726
0.1,0.0,0.0,0.3,0.5,0.5,0.827,0.802,0.82,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,56.2,0.0232127272,0.778,0.7,0.7,0.866,0.895,0.93,0.83,0.82,0.83,0.4333496065354544,17117
0.1,0.0,0.0,0.3,0.5,0.4,0.811,0.811,0.82,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,55.4,0.0041363635,0.78,0.75,0.75,0.84,0.88,0.89,0.81,0.81,0.81,0.1723100061675463,17117
-0.0,-0.0,-0.0,0.0,0.0,0.0,115.358,115.405,115.48,-1.2,-4.1,-6.9,-0.0,-0.1,-0.3,-0.0,-0.0,-0.0,-0.0,10.2,0.003090909,115.336,115.34,115.336,115.38,115.474,115.62,115.36,115.4,115.45,-0.002391048843512251,37551
-0.0,-0.0,-0.0,0.0,0.0,0.0,115.356,115.403,115.47,-1.2,-4.1,-7.0,-0.0,-0.1,-0.3,-0.0,-0.0,-0.0,-0.0,9.1,0.0030745454,115.334,115.33,115.334,115.378,115.472,115.62,115.36,115.4,115.45,-0.002402083439919245,37551
0.0,-0.4,-0.4,0.9,0.8,0.6,0.03,0.042,0.05,0.0,-0.5,-0.7,0.0,-0.0,-0.0,0.0,-0.4,-0.4,-0.0,59.8,-0.0019227273,0.024,0.02,0.024,0.031,0.054,0.05,0.03,0.04,0.04,0.29598181495664755,12633
0.0,-0.4,-0.4,0.9,0.8,0.6,0.03,0.042,0.05,0.0,-0.5,-0.7,0.0,-0.0,-0.0,0.0,-0.4,-0.4,-0.0,59.8,-0.0008681818,0.024,0.02,0.024,0.031,0.054,0.05,0.03,0.04,0.04,0.3512823010370719,12633
-0.0,-0.0,-0.0,0.0,0.0,0.0,18.637,18.775,18.85,-0.1,-0.5,-0.5,-0.1,-0.3,-0.3,-0.0,-0.0,-0.0,-0.0,46.9,0.0186363645,18.56,18.56,18.56,18.744,19.0,19.09,18.65,18.74,18.83,0.023825343062032364,36013
-0.0,-0.0,-0.0,0.0,0.0,0.0,18.642,18.78,18.85,-0.1,-0.5,-0.6,-0.1,-0.3,-0.3,-0.0,-0.0,-0.0,-0.0,46.8,0.0057272729,18.56,18.56,18.56,18.762,19.0,19.09,18.65,18.75,18.83,0.02321638133527787,36013
-0.0,-0.0,-0.0,0.0,0.0,0.0,13.173,13.221,13.23,-0.1,-0.3,-0.4,-0.0,-0.1,-0.1,-0.0,-0.0,-0.0,-0.0,43.4,-0.0140909087,13.144,13.14,13.144,13.218,13.29,13.29,13.18,13.2,13.22,0.027566210391337477,7284
-0.0,-0.0,-0.0,0.0,0.0,0.0,13.168,13.218,13.23,-0.2,-0.4,-0.4,-0.1,-0.1,-0.1,-0.0,-0.0,-0.0,-0.0,43.3,0.0005818182,13.14,13.14,13.14,13.202,13.29,13.29,13.17,13.2,13.22,0.028644728701736788,7284
-0.0,-0.0,-0.0,0.0,0.0,0.0,19.212,19.259,19.33,-0.1,-0.8,-0.6,-0.0,-0.2,-0.2,-0.0,-0.0,-0.0,-0.0,27.9,0.0185636356,19.15,19.14,19.14,19.25,19.38,19.49,19.21,19.25,19.31,0.03591479672854199,34292
-0.0,-0.0,-0.0,0.0,0.0,0.0,19.21,19.256,19.32,-0.1,-0.8,-0.6,-0.0,-0.2,-0.2,-0.0,-0.0,-0.0,-0.0,28.0,0.0239272732,19.146,19.14,19.14,19.25,19.372,19.49,19.2,19.25,19.3,0.03692080722367763,34292
-0.1,-0.1,-0.1,0.2,0.2,0.1,1973.033,2046.24,2108.91,-0.5,-0.8,-0.8,-165.3,-290.5,-204.3,-0.1,-0.1,-0.1,-38.4,38.4,24.5220909119,1900.26,1900.26,1900.26,2089.456,2200.608,2219.49,1962.11,2032.93,2071.4,0.1749288391752197,32278
-0.1,-0.1,-0.1,0.2,0.2,0.1,1980.902,2050.851,2110.53,-0.5,-0.8,-0.7,-162.9,-295.3,-196.6,-0.1,-0.1,-0.1,-39.6,36.6,20.5130233765,1900.26,1900.26,1900.26,2100.298,2208.896,2219.49,1966.64,2036.68,2073.92,0.1752490801751223,32278
-0.0,-0.1,-0.1,0.2,0.1,0.1,46.43,47.166,47.94,-0.3,-0.5,-0.5,-2.3,-3.2,-2.4,-0.0,-0.1,-0.1,-0.5,41.7,0.3704354465,45.143,45.14,45.143,47.957,48.698,49.98,46.23,47.06,47.46,0.10485052784488383,44502
-0.0,-0.1,-0.0,0.1,0.1,0.1,46.516,47.22,47.95,-0.3,-0.6,-0.5,-2.4,-3.3,-2.3,-0.0,-0.1,-0.0,-0.5,40.7,0.4409090877,45.0,45.0,45.0,48.106,48.81,49.59,46.28,47.1,47.48,0.10601063780649127,44502
0.0,0.0,0.0,0.0,0.0,0.3,0.505,0.505,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.7,-0.0,0.505,0.5,0.5,0.505,0.505,0.61,0.51,0.51,0.51,-0.5534257425742573,18182
0.0,0.0,0.0,0.0,0.0,0.3,0.505,0.505,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.7,-0.0,0.505,0.5,0.5,0.505,0.505,0.61,0.51,0.51,0.51,-0.5573069306930691,18182
-0.1,-0.2,-0.1,0.1,0.1,0.1,66.088,72.94,74.77,-0.6,-1.9,-1.5,-4.5,-15.7,-10.2,-0.1,-0.2,-0.1,-1.6,22.3,-0.6242499948,65.107,65.11,65.107,69.215,81.34,81.34,66.63,70.97,74.35,-0.00307499684179269,41133
